text,intent,language
Madat kara,HELP,mr_roman
What questions can I ask?,HELP,en
Majhi rangeetil sthiti kay aahe?,QUEUE_POSITION,mr_roman
Help please,HELP,hi_roman
माझ्या पुढे किती शेतकरी थांबले आहेत?,QUEUE_POSITION,mr
Meri booking check karo,BOOKING_STATUS,hi_roman
आप क्या कर सकते हैं?,HELP,hi
What can I ask about QueueKisan?,HELP,en
Mujhe help chahiye,HELP,hi_roman
मेरी फसल के लिए कौन से कागज चाहिए?,DOCUMENTS,hi
Hello ji,GREETING,mr_roman
Tell me where my produce will be procured,CENTRE_INFO,en
मी रांगेत कितव्या नंबरवर आहे?,QUEUE_POSITION,mr
Namaste,GREETING,en
Maine procurement ke liye kya book kiya?,CROP_INFO,hi_roman
Queue mein mera number kya hai?,QUEUE_POSITION,hinglish
कौन से कागज लाने हैं?,DOCUMENTS,hi
Meri booking wapas leni hai,CANCEL_BOOKING,hinglish
मेरे से पहले कितने टोकन हैं?,QUEUE_POSITION,hi
Meri booking mein kaunsa anaj hai?,CROP_INFO,hi_roman
मला काय घेऊन यायचे?,DOCUMENTS,mr
Mere slot ke liye kaunsi crop hai?,CROP_INFO,hi_roman
Maza token number dakhva,TOKEN_NUMBER,mr_roman
How many minutes until my turn?,WAITING_TIME,en
Chat shuru karein,GREETING,hi_roman
Can I cancel confirmed slot?,CANCEL_BOOKING,hinglish
Please guide me,HELP,en
मेरा वेटिंग टाइम चेक करो,WAITING_TIME,hi
Tumhi mala guide karu shakta ka?,HELP,mr_roman
सध्या कोणता नंबर चालू आहे?,CURRENT_SERVING,mr
Aatta konta number chalu aahe?,CURRENT_SERVING,mr_roman
Can I see my queue position?,QUEUE_POSITION,en
स्लॉट बुकिंग हेल्प,BOOKING_HELP,mr
Meri crop ki procurement kaha hogi?,CENTRE_INFO,hinglish
माझी खरेदी बुकिंग कन्फर्म आहे का?,BOOKING_STATUS,mr
Booking process sanga,BOOKING_HELP,mr_roman
Kya meri booking abhi valid hai?,BOOKING_STATUS,hi_roman
Sadhya konta number chalu aahe?,CURRENT_SERVING,mr_roman
माझी बुकिंग सुरू आहे का?,BOOKING_STATUS,mr
शुभ प्रभात,GREETING,mr
मेरी बारी कितने मिनट में आएगी?,WAITING_TIME,hi
केंद्रावर कोणती कागदपत्रे लागतील?,DOCUMENTS,mr
Mujhe booking karni hai please,BOOKING_HELP,hinglish
Which documents are necessary?,DOCUMENTS,en
Waiting time sanga,WAITING_TIME,mr_roman
Booking status check karo,BOOKING_STATUS,hinglish
Hi assistant,GREETING,mr_roman
या वेळी कोणता टोकन अॅक्टिव्ह आहे?,CURRENT_SERVING,mr
Meri crop info chahiye,CROP_INFO,hinglish
Mi maza token kasa pahu?,TOKEN_NUMBER,mr_roman
How do I select a procurement time?,BOOKING_HELP,en
Which papers should I bring?,DOCUMENTS,en
Rangeet majhi jaga dakhva,QUEUE_POSITION,mr_roman
Document requirement kya hai?,DOCUMENTS,hi_roman
Mera token kitni der mein aayega?,WAITING_TIME,hi_roman
मला मदत हवी आहे,GREETING,mr
Meri queue position kya hai?,QUEUE_POSITION,hi_roman
How do I cancel my booking?,CANCEL_BOOKING,en
Is my booking successful?,BOOKING_STATUS,en
How can I withdraw my booking?,CANCEL_BOOKING,en
कौन सा टोकन मुझे मिला है?,TOKEN_NUMBER,hi
Maza token number check kara,TOKEN_NUMBER,mr_roman
QueueKisan ke baare mein kya puch sakta hoon?,HELP,hinglish
Maine kaunsa produce book kiya?,CROP_INFO,hi_roman
आप मेरी कैसे मदद कर सकते हैं?,HELP,hi
Crop information chahiye,CROP_INFO,hi_roman
क्या लाना जरूरी है?,DOCUMENTS,hi
What crop did I book?,CROP_INFO,en
